NU_ID;NU_NR;HH021;HH071_1;HH071_2;HH071_3;HH071_4;ADR_KEITE
20104900.0;201049.0;1.0;2.0;;;;NE
20245000.0;202450.0;1.0;2.0;;;;NE
30174700.0;301747.0;1.0;2.0;;;;NE
10145600.0;101456.0;1.0;2.0;;;;NE
10021700.0;100217.0;1.0;2.0;;;;NE
10135600.0;101356.0;2.0;1.0;333.0;;12.0;NE
10253700.0;102537.0;1.0;2.0;;;;NE
40282400.0;402824.0;5.0;2.0;;;;NE
40281100.0;402811.0;5.0;2.0;;;;NE
20131000.0;201310.0;1.0;2.0;;;;NE
10016500.0;100165.0;1.0;2.0;;;;NE
20218300.0;202183.0;1.0;2.0;;;;NE
20052300.0;200523.0;1.0;2.0;;;;NE
40183300.0;401833.0;1.0;2.0;;;;NE
10158300.0;101583.0;5.0;2.0;;;;NE
20078100.0;200781.0;1.0;2.0;;;;NE
20108400.0;201084.0;1.0;2.0;;;;NE
40326900.0;403269.0;1.0;2.0;;;;NE
20284600.0;202846.0;1.0;2.0;;;;NE
10117800.0;101178.0;2.0;1.0;150.0;;12.0;NE
10328700.0;103287.0;1.0;2.0;;;;NE
30279200.0;302792.0;1.0;2.0;;;;NE
20300000.0;203000.0;1.0;2.0;;;;NE
10240600.0;102406.0;1.0;2.0;;;;NE
20175500.0;201755.0;1.0;2.0;;;;NE
20083200.0;200832.0;1.0;2.0;;;;NE
10286600.0;102866.0;1.0;2.0;;;;NE
40131200.0;401312.0;2.0;1.0;150.0;;12.0;NE
10245200.0;102452.0;1.0;2.0;;;;NE
20117100.0;201171.0;1.0;2.0;;;;NE
20116800.0;201168.0;1.0;2.0;;;;NE
30200200.0;302002.0;1.0;2.0;;;;NE
30108400.0;301084.0;5.0;2.0;;;;NE
20343700.0;203437.0;1.0;2.0;;;;NE
40225700.0;402257.0;1.0;2.0;;;;NE
20122700.0;201227.0;1.0;2.0;;;;NE
10064300.0;100643.0;1.0;2.0;;;;NE
40126000.0;401260.0;2.0;1.0;;9.0;12.0;NE
